seed_id,activity_id,domain,activity,participant,task,context,environmental_constraints,body_or_hand_state,friction_family,friction_hypothesis,observed_workaround_hypothesis,product_territory,seasonal_tags,shared_predicates,fact_status,risk_flags,research_status,created_at,last_verified_at
seed-0011,act-walking-commuter-walking,walking_running_movement,Commuter walking,ordinary participant or hobbyist,access phone or small essentials,one hand occupied or moving,"rain, gloves, low light",sweaty or gloved hands,access_latency,item is hard to reach without stopping,holding item in hand or using improvised clip,one-handed access pouch or mount,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0012,act-walking-commuter-walking,walking_running_movement,Commuter walking,ordinary participant or hobbyist,manage temperature and moisture,alternating exertion and rest,"wind, precipitation, temperature swing",sweating then cooling,thermal_moisture,clothing traps heat or stays wet,layer removal tied around body,vented modular layer system,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0013,act-walking-stroller-walking,walking_running_movement,Stroller walking,ordinary participant or hobbyist,maintain unrestricted stride,moving continuously,"heat, sweat, rain, darkness, uneven ground",hips and knees flexing; pockets under motion,movement_restriction,garment or carried item restricts range or bounces,"cutting hems, sizing up, tying items down",articulated apparel and low-bounce storage,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0014,act-walking-stroller-walking,walking_running_movement,Stroller walking,ordinary participant or hobbyist,access phone or small essentials,one hand occupied or moving,"rain, gloves, low light",sweaty or gloved hands,access_latency,item is hard to reach without stopping,holding item in hand or using improvised clip,one-handed access pouch or mount,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0015,act-walking-stroller-walking,walking_running_movement,Stroller walking,ordinary participant or hobbyist,manage temperature and moisture,alternating exertion and rest,"wind, precipitation, temperature swing",sweating then cooling,thermal_moisture,clothing traps heat or stays wet,layer removal tied around body,vented modular layer system,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0016,act-walking-power-walking,walking_running_movement,Power walking,ordinary participant or hobbyist,maintain unrestricted stride,moving continuously,"heat, sweat, rain, darkness, uneven ground",hips and knees flexing; pockets under motion,movement_restriction,garment or carried item restricts range or bounces,"cutting hems, sizing up, tying items down",articulated apparel and low-bounce storage,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0017,act-walking-power-walking,walking_running_movement,Power walking,ordinary participant or hobbyist,access phone or small essentials,one hand occupied or moving,"rain, gloves, low light",sweaty or gloved hands,access_latency,item is hard to reach without stopping,holding item in hand or using improvised clip,one-handed access pouch or mount,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0018,act-walking-power-walking,walking_running_movement,Power walking,ordinary participant or hobbyist,manage temperature and moisture,alternating exertion and rest,"wind, precipitation, temperature swing",sweating then cooling,thermal_moisture,clothing traps heat or stays wet,layer removal tied around body,vented modular layer system,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0019,act-walking-nordic-walking,walking_running_movement,Nordic walking,ordinary participant or hobbyist,maintain unrestricted stride,moving continuously,"heat, sweat, rain, darkness, uneven ground",hips and knees flexing; pockets under motion,movement_restriction,garment or carried item restricts range or bounces,"cutting hems, sizing up, tying items down",articulated apparel and low-bounce storage,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0020,act-walking-nordic-walking,walking_running_movement,Nordic walking,ordinary participant or hobbyist,access phone or small essentials,one hand occupied or moving,"rain, gloves, low light",sweaty or gloved hands,access_latency,item is hard to reach without stopping,holding item in hand or using improvised clip,one-handed access pouch or mount,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0021,act-walking-nordic-walking,walking_running_movement,Nordic walking,ordinary participant or hobbyist,manage temperature and moisture,alternating exertion and rest,"wind, precipitation, temperature swing",sweating then cooling,thermal_moisture,clothing traps heat or stays wet,layer removal tied around body,vented modular layer system,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0022,act-walking-weighted-walking,walking_running_movement,Weighted walking,ordinary participant or hobbyist,maintain unrestricted stride,moving continuously,"heat, sweat, rain, darkness, uneven ground",hips and knees flexing; pockets under motion,movement_restriction,garment or carried item restricts range or bounces,"cutting hems, sizing up, tying items down",articulated apparel and low-bounce storage,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0023,act-walking-weighted-walking,walking_running_movement,Weighted walking,ordinary participant or hobbyist,access phone or small essentials,one hand occupied or moving,"rain, gloves, low light",sweaty or gloved hands,access_latency,item is hard to reach without stopping,holding item in hand or using improvised clip,one-handed access pouch or mount,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0024,act-walking-weighted-walking,walking_running_movement,Weighted walking,ordinary participant or hobbyist,manage temperature and moisture,alternating exertion and rest,"wind, precipitation, temperature swing",sweating then cooling,thermal_moisture,clothing traps heat or stays wet,layer removal tied around body,vented modular layer system,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0025,act-walking-road-running,walking_running_movement,Road running,ordinary participant or hobbyist,maintain unrestricted stride,moving continuously,"heat, sweat, rain, darkness, uneven ground",hips and knees flexing; pockets under motion,movement_restriction,garment or carried item restricts range or bounces,"cutting hems, sizing up, tying items down",articulated apparel and low-bounce storage,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0026,act-walking-road-running,walking_running_movement,Road running,ordinary participant or hobbyist,access phone or small essentials,one hand occupied or moving,"rain, gloves, low light",sweaty or gloved hands,access_latency,item is hard to reach without stopping,holding item in hand or using improvised clip,one-handed access pouch or mount,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0027,act-walking-road-running,walking_running_movement,Road running,ordinary participant or hobbyist,manage temperature and moisture,alternating exertion and rest,"wind, precipitation, temperature swing",sweating then cooling,thermal_moisture,clothing traps heat or stays wet,layer removal tied around body,vented modular layer system,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0028,act-walking-trail-running,walking_running_movement,Trail running,ordinary participant or hobbyist,maintain unrestricted stride,moving continuously,"heat, sweat, rain, darkness, uneven ground",hips and knees flexing; pockets under motion,movement_restriction,garment or carried item restricts range or bounces,"cutting hems, sizing up, tying items down",articulated apparel and low-bounce storage,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0029,act-walking-trail-running,walking_running_movement,Trail running,ordinary participant or hobbyist,access phone or small essentials,one hand occupied or moving,"rain, gloves, low light",sweaty or gloved hands,access_latency,item is hard to reach without stopping,holding item in hand or using improvised clip,one-handed access pouch or mount,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0030,act-walking-trail-running,walking_running_movement,Trail running,ordinary participant or hobbyist,manage temperature and moisture,alternating exertion and rest,"wind, precipitation, temperature swing",sweating then cooling,thermal_moisture,clothing traps heat or stays wet,layer removal tied around body,vented modular layer system,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0031,act-walking-hill-repeats,walking_running_movement,Hill repeats,ordinary participant or hobbyist,maintain unrestricted stride,moving continuously,"heat, sweat, rain, darkness, uneven ground",hips and knees flexing; pockets under motion,movement_restriction,garment or carried item restricts range or bounces,"cutting hems, sizing up, tying items down",articulated apparel and low-bounce storage,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0032,act-walking-hill-repeats,walking_running_movement,Hill repeats,ordinary participant or hobbyist,access phone or small essentials,one hand occupied or moving,"rain, gloves, low light",sweaty or gloved hands,access_latency,item is hard to reach without stopping,holding item in hand or using improvised clip,one-handed access pouch or mount,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0033,act-walking-hill-repeats,walking_running_movement,Hill repeats,ordinary participant or hobbyist,manage temperature and moisture,alternating exertion and rest,"wind, precipitation, temperature swing",sweating then cooling,thermal_moisture,clothing traps heat or stays wet,layer removal tied around body,vented modular layer system,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0034,act-walking-stair-training,walking_running_movement,Stair training,ordinary participant or hobbyist,maintain unrestricted stride,moving continuously,"heat, sweat, rain, darkness, uneven ground",hips and knees flexing; pockets under motion,movement_restriction,garment or carried item restricts range or bounces,"cutting hems, sizing up, tying items down",articulated apparel and low-bounce storage,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0035,act-walking-stair-training,walking_running_movement,Stair training,ordinary participant or hobbyist,access phone or small essentials,one hand occupied or moving,"rain, gloves, low light",sweaty or gloved hands,access_latency,item is hard to reach without stopping,holding item in hand or using improvised clip,one-handed access pouch or mount,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0036,act-walking-stair-training,walking_running_movement,Stair training,ordinary participant or hobbyist,manage temperature and moisture,alternating exertion and rest,"wind, precipitation, temperature swing",sweating then cooling,thermal_moisture,clothing traps heat or stays wet,layer removal tied around body,vented modular layer system,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0037,act-walking-track-workouts,walking_running_movement,Track workouts,ordinary participant or hobbyist,maintain unrestricted stride,moving continuously,"heat, sweat, rain, darkness, uneven ground",hips and knees flexing; pockets under motion,movement_restriction,garment or carried item restricts range or bounces,"cutting hems, sizing up, tying items down",articulated apparel and low-bounce storage,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0038,act-walking-track-workouts,walking_running_movement,Track workouts,ordinary participant or hobbyist,access phone or small essentials,one hand occupied or moving,"rain, gloves, low light",sweaty or gloved hands,access_latency,item is hard to reach without stopping,holding item in hand or using improvised clip,one-handed access pouch or mount,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0039,act-walking-track-workouts,walking_running_movement,Track workouts,ordinary participant or hobbyist,manage temperature and moisture,alternating exertion and rest,"wind, precipitation, temperature swing",sweating then cooling,thermal_moisture,clothing traps heat or stays wet,layer removal tied around body,vented modular layer system,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0040,act-walking-obstacle-course-training,walking_running_movement,Obstacle-course training,ordinary participant or hobbyist,maintain unrestricted stride,moving continuously,"heat, sweat, rain, darkness, uneven ground",hips and knees flexing; pockets under motion,movement_restriction,garment or carried item restricts range or bounces,"cutting hems, sizing up, tying items down",articulated apparel and low-bounce storage,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0041,act-walking-obstacle-course-training,walking_running_movement,Obstacle-course training,ordinary participant or hobbyist,access phone or small essentials,one hand occupied or moving,"rain, gloves, low light",sweaty or gloved hands,access_latency,item is hard to reach without stopping,holding item in hand or using improvised clip,one-handed access pouch or mount,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0042,act-walking-obstacle-course-training,walking_running_movement,Obstacle-course training,ordinary participant or hobbyist,manage temperature and moisture,alternating exertion and rest,"wind, precipitation, temperature swing",sweating then cooling,thermal_moisture,clothing traps heat or stays wet,layer removal tied around body,vented modular layer system,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0043,act-walking-day-hiking,walking_running_movement,Day hiking,ordinary participant or hobbyist,maintain unrestricted stride,moving continuously,"heat, sweat, rain, darkness, uneven ground",hips and knees flexing; pockets under motion,movement_restriction,garment or carried item restricts range or bounces,"cutting hems, sizing up, tying items down",articulated apparel and low-bounce storage,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0044,act-walking-day-hiking,walking_running_movement,Day hiking,ordinary participant or hobbyist,access phone or small essentials,one hand occupied or moving,"rain, gloves, low light",sweaty or gloved hands,access_latency,item is hard to reach without stopping,holding item in hand or using improvised clip,one-handed access pouch or mount,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0045,act-walking-day-hiking,walking_running_movement,Day hiking,ordinary participant or hobbyist,manage temperature and moisture,alternating exertion and rest,"wind, precipitation, temperature swing",sweating then cooling,thermal_moisture,clothing traps heat or stays wet,layer removal tied around body,vented modular layer system,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0046,act-walking-peak-bagging,walking_running_movement,Peak bagging,ordinary participant or hobbyist,maintain unrestricted stride,moving continuously,"heat, sweat, rain, darkness, uneven ground",hips and knees flexing; pockets under motion,movement_restriction,garment or carried item restricts range or bounces,"cutting hems, sizing up, tying items down",articulated apparel and low-bounce storage,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0047,act-walking-peak-bagging,walking_running_movement,Peak bagging,ordinary participant or hobbyist,access phone or small essentials,one hand occupied or moving,"rain, gloves, low light",sweaty or gloved hands,access_latency,item is hard to reach without stopping,holding item in hand or using improvised clip,one-handed access pouch or mount,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0048,act-walking-peak-bagging,walking_running_movement,Peak bagging,ordinary participant or hobbyist,manage temperature and moisture,alternating exertion and rest,"wind, precipitation, temperature swing",sweating then cooling,thermal_moisture,clothing traps heat or stays wet,layer removal tied around body,vented modular layer system,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0049,act-walking-backpacking,walking_running_movement,Backpacking,ordinary participant or hobbyist,maintain unrestricted stride,moving continuously,"heat, sweat, rain, darkness, uneven ground",hips and knees flexing; pockets under motion,movement_restriction,garment or carried item restricts range or bounces,"cutting hems, sizing up, tying items down",articulated apparel and low-bounce storage,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0050,act-walking-backpacking,walking_running_movement,Backpacking,ordinary participant or hobbyist,access phone or small essentials,one hand occupied or moving,"rain, gloves, low light",sweaty or gloved hands,access_latency,item is hard to reach without stopping,holding item in hand or using improvised clip,one-handed access pouch or mount,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0051,act-walking-backpacking,walking_running_movement,Backpacking,ordinary participant or hobbyist,manage temperature and moisture,alternating exertion and rest,"wind, precipitation, temperature swing",sweating then cooling,thermal_moisture,clothing traps heat or stays wet,layer removal tied around body,vented modular layer system,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0052,act-walking-fastpacking,walking_running_movement,Fastpacking,ordinary participant or hobbyist,maintain unrestricted stride,moving continuously,"heat, sweat, rain, darkness, uneven ground",hips and knees flexing; pockets under motion,movement_restriction,garment or carried item restricts range or bounces,"cutting hems, sizing up, tying items down",articulated apparel and low-bounce storage,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0053,act-walking-fastpacking,walking_running_movement,Fastpacking,ordinary participant or hobbyist,access phone or small essentials,one hand occupied or moving,"rain, gloves, low light",sweaty or gloved hands,access_latency,item is hard to reach without stopping,holding item in hand or using improvised clip,one-handed access pouch or mount,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0054,act-walking-fastpacking,walking_running_movement,Fastpacking,ordinary participant or hobbyist,manage temperature and moisture,alternating exertion and rest,"wind, precipitation, temperature swing",sweating then cooling,thermal_moisture,clothing traps heat or stays wet,layer removal tied around body,vented modular layer system,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0055,act-walking-scrambling,walking_running_movement,Scrambling,ordinary participant or hobbyist,maintain unrestricted stride,moving continuously,"heat, sweat, rain, darkness, uneven ground",hips and knees flexing; pockets under motion,movement_restriction,garment or carried item restricts range or bounces,"cutting hems, sizing up, tying items down",articulated apparel and low-bounce storage,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0056,act-walking-scrambling,walking_running_movement,Scrambling,ordinary participant or hobbyist,access phone or small essentials,one hand occupied or moving,"rain, gloves, low light",sweaty or gloved hands,access_latency,item is hard to reach without stopping,holding item in hand or using improvised clip,one-handed access pouch or mount,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0057,act-walking-scrambling,walking_running_movement,Scrambling,ordinary participant or hobbyist,manage temperature and moisture,alternating exertion and rest,"wind, precipitation, temperature swing",sweating then cooling,thermal_moisture,clothing traps heat or stays wet,layer removal tied around body,vented modular layer system,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0058,act-walking-orienteering,walking_running_movement,Orienteering,ordinary participant or hobbyist,maintain unrestricted stride,moving continuously,"heat, sweat, rain, darkness, uneven ground",hips and knees flexing; pockets under motion,movement_restriction,garment or carried item restricts range or bounces,"cutting hems, sizing up, tying items down",articulated apparel and low-bounce storage,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0059,act-walking-orienteering,walking_running_movement,Orienteering,ordinary participant or hobbyist,access phone or small essentials,one hand occupied or moving,"rain, gloves, low light",sweaty or gloved hands,access_latency,item is hard to reach without stopping,holding item in hand or using improvised clip,one-handed access pouch or mount,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0060,act-walking-orienteering,walking_running_movement,Orienteering,ordinary participant or hobbyist,manage temperature and moisture,alternating exertion and rest,"wind, precipitation, temperature swing",sweating then cooling,thermal_moisture,clothing traps heat or stays wet,layer removal tied around body,vented modular layer system,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0061,act-walking-geocaching,walking_running_movement,Geocaching,ordinary participant or hobbyist,maintain unrestricted stride,moving continuously,"heat, sweat, rain, darkness, uneven ground",hips and knees flexing; pockets under motion,movement_restriction,garment or carried item restricts range or bounces,"cutting hems, sizing up, tying items down",articulated apparel and low-bounce storage,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0062,act-walking-geocaching,walking_running_movement,Geocaching,ordinary participant or hobbyist,access phone or small essentials,one hand occupied or moving,"rain, gloves, low light",sweaty or gloved hands,access_latency,item is hard to reach without stopping,holding item in hand or using improvised clip,one-handed access pouch or mount,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0063,act-walking-geocaching,walking_running_movement,Geocaching,ordinary participant or hobbyist,manage temperature and moisture,alternating exertion and rest,"wind, precipitation, temperature swing",sweating then cooling,thermal_moisture,clothing traps heat or stays wet,layer removal tied around body,vented modular layer system,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0064,act-walking-trail-cleanup,walking_running_movement,Trail cleanup,ordinary participant or hobbyist,maintain unrestricted stride,moving continuously,"heat, sweat, rain, darkness, uneven ground",hips and knees flexing; pockets under motion,movement_restriction,garment or carried item restricts range or bounces,"cutting hems, sizing up, tying items down",articulated apparel and low-bounce storage,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
seed-0065,act-walking-trail-cleanup,walking_running_movement,Trail cleanup,ordinary participant or hobbyist,access phone or small essentials,one hand occupied or moving,"rain, gloves, low light",sweaty or gloved hands,access_latency,item is hard to reach without stopping,holding item in hand or using improvised clip,one-handed access pouch or mount,outdoor;regional;verify-current-window,carry;access;retain;separate;protect;set-up;clean;repair,hypothesis,"verify safety, compliance, IP, and platform rules",seed,2026-07-19,
